10.3.120.9:OutPkts,10.2.120.3:Conns,192.168.1.120:InPkts,10.2.120.9:OutBytes,10.3.120.7:Conns,10.2.120.6:InBytes,10.2.120.2:InBytes,10.2.120.5:InPkts,10.2.120.3:InBytes,10.3.120.2:InBytes,10.3.120.6:OutBytes,10.3.120.8:Conns,172.16.254.1:InPkts,10.2.120.5:OutBytes,10.3.120.3:InPkts,10.2.120.7:InBytes,172.16.254.1:InBytes,10.3.120.7:OutPkts,172.16.254.41:Conns,10.2.120.5:InBytes,10.2.120.4:OutBytes,10.2.120.6:InPkts,10.2.120.4:InBytes,10.3.120.5:OutPkts,10.3.120.6:InBytes,10.3.120.6:InPkts,172.16.254.41:OutBytes,10.2.120.7:InPkts,10.3.120.6:Conns,10.2.120.4:InPkts,10.2.120.9:InPkts,10.2.120.3:InPkts,10.2.120.6:OutBytes,10.2.120.8:InPkts,10.2.120.8:InBytes,10.3.120.7:OutBytes,192.168.1.120:OutBytes,10.3.120.9:InBytes,10.2.120.3:OutBytes,10.2.120.6:Conns,10.2.120.9:Conns,10.2.120.8:OutPkts,10.2.120.2:OutBytes,172.16.254.1:OutBytes,10.2.120.4:OutPkts,10.3.120.8:InBytes,10.2.120.5:Conns,10.2.120.2:Conns,10.3.120.5:InBytes,10.2.120.7:Conns,10.3.120.2:InPkts,10.3.120.4:OutPkts,10.3.120.3:OutBytes,172.16.254.1:OutPkts,172.16.254.41:InPkts,10.3.120.4:InBytes,10.3.120.9:OutBytes,192.168.1.120:InBytes,10.3.120.5:OutBytes,10.3.120.4:InPkts,10.3.120.7:InBytes,172.16.254.41:OutPkts,10.2.120.2:InPkts,172.16.254.41:InBytes,10.2.120.5:OutPkts,10.2.120.7:OutPkts,10.3.120.3:InBytes,10.3.120.6:OutPkts,10.3.120.8:InPkts,192.168.1.120:Conns,192.168.1.120:OutPkts,10.3.120.2:Conns,10.3.120.4:Conns,10.2.120.3:OutPkts,172.16.254.1:Conns,10.3.120.9:InPkts,10.3.120.9:Conns,10.3.120.2:OutBytes,10.3.120.3:OutPkts,10.3.120.5:InPkts,10.3.120.7:InPkts,10.3.120.4:OutBytes,10.3.120.8:OutBytes,10.2.120.7:OutBytes,10.3.120.5:Conns,10.2.120.6:OutPkts,10.3.120.2:OutPkts,10.2.120.8:Conns,10.2.120.9:OutPkts,10.2.120.4:Conns,10.3.120.8:OutPkts,10.2.120.8:OutBytes,10.2.120.9:InBytes,10.3.120.3:Conns,10.2.120.2:OutPkts
781,159,0,81731,160,71283,70711,1049,71867,71994,83807,160,0,82367,1055,71220,0,774,2553,70619,84711,1062,71537,772,71347,1063,1339218,1059,159,1063,1039,1073,83553,1057,71023,84035,0,71853,84268,159,158,772,82783,0,790,71685,159,159,71685,159,1070,780,83497,0,16962,71396,84392,0,84078,1062,71188,12365,1051,1140507,756,775,71113,771,1066,0,0,161,160,780,0,1069,160,84513,769,1066,1058,84207,84174,83737,160,770,784,159,750,161,778,83365,69986,160,763
781,159,0,81731,160,71283,70711,1049,71867,71994,83807,160,0,82367,1055,71220,0,774,2553,70619,84711,1062,71537,772,71347,1063,1339218,1059,159,1063,1039,1073,83553,1057,71023,84035,0,71853,84268,159,158,772,82783,0,790,71685,159,159,71685,159,1070,780,83497,0,16962,71396,84392,0,84078,1062,71188,12365,1051,1140507,756,775,71113,771,1066,0,0,161,160,780,0,1069,160,84513,769,1066,1058,84207,84174,83737,160,770,784,159,750,161,778,83365,69986,160,763
781,159,0,81731,160,71283,70711,1049,71867,71994,83807,160,0,82367,1055,71220,0,774,2553,70619,84711,1062,71537,772,71347,1063,1339218,1059,159,1063,1039,1073,83553,1057,71023,84035,0,71853,84268,159,158,772,82783,0,790,71685,159,159,71685,159,1070,780,83497,0,16962,71396,84392,0,84078,1062,71188,12365,1051,1140507,756,775,71113,771,1066,0,0,161,160,780,0,1069,160,84513,769,1066,1058,84207,84174,83737,160,770,784,159,750,161,778,83365,69986,160,763
781,159,0,81731,160,71283,70711,1049,71867,71994,83807,160,0,82367,1055,71220,0,774,2553,70619,84711,1062,71537,772,71347,1063,1339218,1059,159,1063,1039,1073,83553,1057,71023,84035,0,71853,84268,159,158,772,82783,0,790,71685,159,159,71685,159,1070,780,83497,0,16962,71396,84392,0,84078,1062,71188,12365,1051,1140507,756,775,71113,771,1066,0,0,161,160,780,0,1069,160,84513,769,1066,1058,84207,84174,83737,160,770,784,159,750,161,778,83365,69986,160,763
781,159,0,81731,160,71283,70711,1049,71867,71994,83807,160,0,82367,1055,71220,0,774,2553,70619,84711,1062,71537,772,71347,1063,1339218,1059,159,1063,1039,1073,83553,1057,71023,84035,0,71853,84268,159,158,772,82783,0,790,71685,159,159,71685,159,1070,780,83497,0,16962,71396,84392,0,84078,1062,71188,12365,1051,1140507,756,775,71113,771,1066,0,0,161,160,780,0,1069,160,84513,769,1066,1058,84207,84174,83737,160,770,784,159,750,161,778,83365,69986,160,763
781,159,0,81731,160,71283,70711,1049,71867,71994,83807,160,0,82367,1055,71220,0,774,2553,70619,84711,1062,71537,772,71347,1063,1339218,1059,159,1063,1039,1073,83553,1057,71023,84035,0,71853,84268,159,158,772,82783,0,790,71685,159,159,71685,159,1070,780,83497,0,16962,71396,84392,0,84078,1062,71188,12365,1051,1140507,756,775,71113,771,1066,0,0,161,160,780,0,1069,160,84513,769,1066,1058,84207,84174,83737,160,770,784,159,750,161,778,83365,69986,160,763
781,159,0,81731,160,71283,70711,1049,71867,71994,83807,160,0,82367,1055,71220,0,774,2553,70619,84711,1062,71537,772,71347,1063,1339218,1059,159,1063,1039,1073,83553,1057,71023,84035,0,71853,84268,159,158,772,82783,0,790,71685,159,159,71685,159,1070,780,83497,0,16962,71396,84392,0,84078,1062,71188,12365,1051,1140507,756,775,71113,771,1066,0,0,161,160,780,0,1069,160,84513,769,1066,1058,84207,84174,83737,160,770,784,159,750,161,778,83365,69986,160,763
781,159,0,81731,160,71283,70711,1049,71867,71994,83807,160,0,82367,1055,71220,0,774,2553,70619,84711,1062,71537,772,71347,1063,1339218,1059,159,1063,1039,1073,83553,1057,71023,84035,0,71853,84268,159,158,772,82783,0,790,71685,159,159,71685,159,1070,780,83497,0,16962,71396,84392,0,84078,1062,71188,12365,1051,1140507,756,775,71113,771,1066,0,0,161,160,780,0,1069,160,84513,769,1066,1058,84207,84174,83737,160,770,784,159,750,161,778,83365,69986,160,763
781,159,0,81731,160,71283,70711,1049,71867,71994,83807,160,0,82367,1055,71220,0,774,2553,70619,84711,1062,71537,772,71347,1063,1339218,1059,159,1063,1039,1073,83553,1057,71023,84035,0,71853,84268,159,158,772,82783,0,790,71685,159,159,71685,159,1070,780,83497,0,16962,71396,84392,0,84078,1062,71188,12365,1051,1140507,756,775,71113,771,1066,0,0,161,160,780,0,1069,160,84513,769,1066,1058,84207,84174,83737,160,770,784,159,750,161,778,83365,69986,160,763
781,159,0,81731,160,71283,70711,1049,71867,71994,83807,160,0,82367,1055,71220,0,774,2553,70619,84711,1062,71537,772,71347,1063,1339218,1059,159,1063,1039,1073,83553,1057,71023,84035,0,71853,84268,159,158,772,82783,0,790,71685,159,159,71685,159,1070,780,83497,0,16962,71396,84392,0,84078,1062,71188,12365,1051,1140507,756,775,71113,771,1066,0,0,161,160,780,0,1069,160,84513,769,1066,1058,84207,84174,83737,160,770,784,159,750,161,778,83365,69986,160,763
781,159,0,81731,160,71283,70711,1049,71867,71994,83807,160,0,82367,1055,71220,0,774,2553,70619,84711,1062,71537,772,71347,1063,1339218,1059,159,1063,1039,1073,83553,1057,71023,84035,0,71853,84268,159,158,772,82783,0,790,71685,159,159,71685,159,1070,780,83497,0,16962,71396,84392,0,84078,1062,71188,12365,1051,1140507,756,775,71113,771,1066,0,0,161,160,780,0,1069,160,84513,769,1066,1058,84207,84174,83737,160,770,784,159,750,161,778,83365,69986,160,763
781,159,0,81731,160,71283,70711,1049,71867,71994,83807,160,0,82367,1055,71220,0,774,2553,70619,84711,1062,71537,772,71347,1063,1339218,1059,159,1063,1039,1073,83553,1057,71023,84035,0,71853,84268,159,158,772,82783,0,790,71685,159,159,71685,159,1070,780,83497,0,16962,71396,84392,0,84078,1062,71188,12365,1051,1140507,756,775,71113,771,1066,0,0,161,160,780,0,1069,160,84513,769,1066,1058,84207,84174,83737,160,770,784,159,750,161,778,83365,69986,160,763
781,159,0,81731,160,71283,70711,1049,71867,71994,83807,160,0,82367,1055,71220,0,774,2553,70619,84711,1062,71537,772,71347,1063,1339218,1059,159,1063,1039,1073,83553,1057,71023,84035,0,71853,84268,159,158,772,82783,0,790,71685,159,159,71685,159,1070,780,83497,0,16962,71396,84392,0,84078,1062,71188,12365,1051,1140507,756,775,71113,771,1066,0,0,161,160,780,0,1069,160,84513,769,1066,1058,84207,84174,83737,160,770,784,159,750,161,778,83365,69986,160,763
781,159,0,81731,160,71283,70711,1049,71867,71994,83807,160,0,82367,1055,71220,0,774,2553,70619,84711,1062,71537,772,71347,1063,1339218,1059,159,1063,1039,1073,83553,1057,71023,84035,0,71853,84268,159,158,772,82783,0,790,71685,159,159,71685,159,1070,780,83497,0,16962,71396,84392,0,84078,1062,71188,12365,1051,1140507,756,775,71113,771,1066,0,0,161,160,780,0,1069,160,84513,769,1066,1058,84207,84174,83737,160,770,784,159,750,161,778,83365,69986,160,763
781,159,0,81731,160,71283,70711,1049,71867,71994,83807,160,0,82367,1055,71220,0,774,2553,70619,84711,1062,71537,772,71347,1063,1339218,1059,159,1063,1039,1073,83553,1057,71023,84035,0,71853,84268,159,158,772,82783,0,790,71685,159,159,71685,159,1070,780,83497,0,16962,71396,84392,0,84078,1062,71188,12365,1051,1140507,756,775,71113,771,1066,0,0,161,160,780,0,1069,160,84513,769,1066,1058,84207,84174,83737,160,770,784,159,750,161,778,83365,69986,160,763
781,159,0,81731,160,71283,70711,1049,71867,71994,83807,160,0,82367,1055,71220,0,774,2553,70619,84711,1062,71537,772,71347,1063,1339218,1059,159,1063,1039,1073,83553,1057,71023,84035,0,71853,84268,159,158,772,82783,0,790,71685,159,159,71685,159,1070,780,83497,0,16962,71396,84392,0,84078,1062,71188,12365,1051,1140507,756,775,71113,771,1066,0,0,161,160,780,0,1069,160,84513,769,1066,1058,84207,84174,83737,160,770,784,159,750,161,778,83365,69986,160,763
781,159,0,81731,160,71283,70711,1049,71867,71994,83807,160,0,82367,1055,71220,0,774,2553,70619,84711,1062,71537,772,71347,1063,1339218,1059,159,1063,1039,1073,83553,1057,71023,84035,0,71853,84268,159,158,772,82783,0,790,71685,159,159,71685,159,1070,780,83497,0,16962,71396,84392,0,84078,1062,71188,12365,1051,1140507,756,775,71113,771,1066,0,0,161,160,780,0,1069,160,84513,769,1066,1058,84207,84174,83737,160,770,784,159,750,161,778,83365,69986,160,763
781,159,0,81731,160,71283,70711,1049,71867,71994,83807,160,0,82367,1055,71220,0,774,2553,70619,84711,1062,71537,772,71347,1063,1339218,1059,159,1063,1039,1073,83553,1057,71023,84035,0,71853,84268,159,158,772,82783,0,790,71685,159,159,71685,159,1070,780,83497,0,16962,71396,84392,0,84078,1062,71188,12365,1051,1140507,756,775,71113,771,1066,0,0,161,160,780,0,1069,160,84513,769,1066,1058,84207,84174,83737,160,770,784,159,750,161,778,83365,69986,160,763
781,159,0,81731,160,71283,70711,1049,71867,71994,83807,160,0,82367,1055,71220,0,774,2553,70619,84711,1062,71537,772,71347,1063,1339218,1059,159,1063,1039,1073,83553,1057,71023,84035,0,71853,84268,159,158,772,82783,0,790,71685,159,159,71685,159,1070,780,83497,0,16962,71396,84392,0,84078,1062,71188,12365,1051,1140507,756,775,71113,771,1066,0,0,161,160,780,0,1069,160,84513,769,1066,1058,84207,84174,83737,160,770,784,159,750,161,778,83365,69986,160,763
781,159,0,81731,160,71283,70711,1049,71867,71994,83807,160,0,82367,1055,71220,0,774,2553,70619,84711,1062,71537,772,71347,1063,1339218,1059,159,1063,1039,1073,83553,1057,71023,84035,0,71853,84268,159,158,772,82783,0,790,71685,159,159,71685,159,1070,780,83497,0,16962,71396,84392,0,84078,1062,71188,12365,1051,1140507,756,775,71113,771,1066,0,0,161,160,780,0,1069,160,84513,769,1066,1058,84207,84174,83737,160,770,784,159,750,161,778,83365,69986,160,763
781,159,0,81731,160,71283,70711,1049,71867,71994,83807,160,0,82367,1055,71220,0,774,2553,70619,84711,1062,71537,772,71347,1063,1339218,1059,159,1063,1039,1073,83553,1057,71023,84035,0,71853,84268,159,158,772,82783,0,790,71685,159,159,71685,159,1070,780,83497,0,16962,71396,84392,0,84078,1062,71188,12365,1051,1140507,756,775,71113,771,1066,0,0,161,160,780,0,1069,160,84513,769,1066,1058,84207,84174,83737,160,770,784,159,750,161,778,83365,69986,160,763
781,159,0,81731,160,71283,70711,1049,71867,71994,83807,160,0,82367,1055,71220,0,774,2553,70619,84711,1062,71537,772,71347,1063,1339218,1059,159,1063,1039,1073,83553,1057,71023,84035,0,71853,84268,159,158,772,82783,0,790,71685,159,159,71685,159,1070,780,83497,0,16962,71396,84392,0,84078,1062,71188,12365,1051,1140507,756,775,71113,771,1066,0,0,161,160,780,0,1069,160,84513,769,1066,1058,84207,84174,83737,160,770,784,159,750,161,778,83365,69986,160,763
781,159,0,81731,160,71283,70711,1049,71867,71994,83807,160,0,82367,1055,71220,0,774,2553,70619,84711,1062,71537,772,71347,1063,1339218,1059,159,1063,1039,1073,83553,1057,71023,84035,0,71853,84268,159,158,772,82783,0,790,71685,159,159,71685,159,1070,780,83497,0,16962,71396,84392,0,84078,1062,71188,12365,1051,1140507,756,775,71113,771,1066,0,0,161,160,780,0,1069,160,84513,769,1066,1058,84207,84174,83737,160,770,784,159,750,161,778,83365,69986,160,763
781,159,0,81731,160,71283,70711,1049,71867,71994,83807,160,0,82367,1055,71220,0,774,2553,70619,84711,1062,71537,772,71347,1063,1339218,1059,159,1063,1039,1073,83553,1057,71023,84035,0,71853,84268,159,158,772,82783,0,790,71685,159,159,71685,159,1070,780,83497,0,16962,71396,84392,0,84078,1062,71188,12365,1051,1140507,756,775,71113,771,1066,0,0,161,160,780,0,1069,160,84513,769,1066,1058,84207,84174,83737,160,770,784,159,750,161,778,83365,69986,160,763
781,159,0,81731,160,71283,70711,1049,71867,71994,83807,160,0,82367,1055,71220,0,774,2553,70619,84711,1062,71537,772,71347,1063,1339218,1059,159,1063,1039,1073,83553,1057,71023,84035,0,71853,84268,159,158,772,82783,0,790,71685,159,159,71685,159,1070,780,83497,0,16962,71396,84392,0,84078,1062,71188,12365,1051,1140507,756,775,71113,771,1066,0,0,161,160,780,0,1069,160,84513,769,1066,1058,84207,84174,83737,160,770,784,159,750,161,778,83365,69986,160,763
781,159,0,81731,160,71283,70711,1049,71867,71994,83807,160,0,82367,1055,71220,0,774,2553,70619,84711,1062,71537,772,71347,1063,1339218,1059,159,1063,1039,1073,83553,1057,71023,84035,0,71853,84268,159,158,772,82783,0,790,71685,159,159,71685,159,1070,780,83497,0,16962,71396,84392,0,84078,1062,71188,12365,1051,1140507,756,775,71113,771,1066,0,0,161,160,780,0,1069,160,84513,769,1066,1058,84207,84174,83737,160,770,784,159,750,161,778,83365,69986,160,763
781,159,0,81731,160,71283,70711,1049,71867,71994,83807,160,0,82367,1055,71220,0,774,2553,70619,84711,1062,71537,772,71347,1063,1339218,1059,159,1063,1039,1073,83553,1057,71023,84035,0,71853,84268,159,158,772,82783,0,790,71685,159,159,71685,159,1070,780,83497,0,16962,71396,84392,0,84078,1062,71188,12365,1051,1140507,756,775,71113,771,1066,0,0,161,160,780,0,1069,160,84513,769,1066,1058,84207,84174,83737,160,770,784,159,750,161,778,83365,69986,160,763
781,159,0,81731,160,71283,70711,1049,71867,71994,83807,160,0,82367,1055,71220,0,774,2553,70619,84711,1062,71537,772,71347,1063,1339218,1059,159,1063,1039,1073,83553,1057,71023,84035,0,71853,84268,159,158,772,82783,0,790,71685,159,159,71685,159,1070,780,83497,0,16962,71396,84392,0,84078,1062,71188,12365,1051,1140507,756,775,71113,771,1066,0,0,161,160,780,0,1069,160,84513,769,1066,1058,84207,84174,83737,160,770,784,159,750,161,778,83365,69986,160,763
781,159,0,81731,160,71283,70711,1049,71867,71994,83807,160,0,82367,1055,71220,0,774,2553,70619,84711,1062,71537,772,71347,1063,1339218,1059,159,1063,1039,1073,83553,1057,71023,84035,0,71853,84268,159,158,772,82783,0,790,71685,159,159,71685,159,1070,780,83497,0,16962,71396,84392,0,84078,1062,71188,12365,1051,1140507,756,775,71113,771,1066,0,0,161,160,780,0,1069,160,84513,769,1066,1058,84207,84174,83737,160,770,784,159,750,161,778,83365,69986,160,763
781,159,0,81731,160,71283,70711,1049,71867,71994,83807,160,0,82367,1055,71220,0,774,2553,70619,84711,1062,71537,772,71347,1063,1339218,1059,159,1063,1039,1073,83553,1057,71023,84035,0,71853,84268,159,158,772,82783,0,790,71685,159,159,71685,159,1070,780,83497,0,16962,71396,84392,0,84078,1062,71188,12365,1051,1140507,756,775,71113,771,1066,0,0,161,160,780,0,1069,160,84513,769,1066,1058,84207,84174,83737,160,770,784,159,750,161,778,83365,69986,160,763
781,159,0,81731,160,71283,70711,1049,71867,71994,83807,160,0,82367,1055,71220,0,774,2553,70619,84711,1062,71537,772,71347,1063,1339218,1059,159,1063,1039,1073,83553,1057,71023,84035,0,71853,84268,159,158,772,82783,0,790,71685,159,159,71685,159,1070,780,83497,0,16962,71396,84392,0,84078,1062,71188,12365,1051,1140507,756,775,71113,771,1066,0,0,161,160,780,0,1069,160,84513,769,1066,1058,84207,84174,83737,160,770,784,159,750,161,778,83365,69986,160,763
781,159,0,81731,160,71283,70711,1049,71867,71994,83807,160,0,82367,1055,71220,0,774,2553,70619,84711,1062,71537,772,71347,1063,1339218,1059,159,1063,1039,1073,83553,1057,71023,84035,0,71853,84268,159,158,772,82783,0,790,71685,159,159,71685,159,1070,780,83497,0,16962,71396,84392,0,84078,1062,71188,12365,1051,1140507,756,775,71113,771,1066,0,0,161,160,780,0,1069,160,84513,769,1066,1058,84207,84174,83737,160,770,784,159,750,161,778,83365,69986,160,763
781,159,0,81731,160,71283,70711,1049,71867,71994,83807,160,0,82367,1055,71220,0,774,2553,70619,84711,1062,71537,772,71347,1063,1339218,1059,159,1063,1039,1073,83553,1057,71023,84035,0,71853,84268,159,158,772,82783,0,790,71685,159,159,71685,159,1070,780,83497,0,16962,71396,84392,0,84078,1062,71188,12365,1051,1140507,756,775,71113,771,1066,0,0,161,160,780,0,1069,160,84513,769,1066,1058,84207,84174,83737,160,770,784,159,750,161,778,83365,69986,160,763
781,159,0,81731,160,71283,70711,1049,71867,71994,83807,160,0,82367,1055,71220,0,774,2553,70619,84711,1062,71537,772,71347,1063,1339218,1059,159,1063,1039,1073,83553,1057,71023,84035,0,71853,84268,159,158,772,82783,0,790,71685,159,159,71685,159,1070,780,83497,0,16962,71396,84392,0,84078,1062,71188,12365,1051,1140507,756,775,71113,771,1066,0,0,161,160,780,0,1069,160,84513,769,1066,1058,84207,84174,83737,160,770,784,159,750,161,778,83365,69986,160,763
781,159,0,81731,160,71283,70711,1049,71867,71994,83807,160,0,82367,1055,71220,0,774,2553,70619,84711,1062,71537,772,71347,1063,1339218,1059,159,1063,1039,1073,83553,1057,71023,84035,0,71853,84268,159,158,772,82783,0,790,71685,159,159,71685,159,1070,780,83497,0,16962,71396,84392,0,84078,1062,71188,12365,1051,1140507,756,775,71113,771,1066,0,0,161,160,780,0,1069,160,84513,769,1066,1058,84207,84174,83737,160,770,784,159,750,161,778,83365,69986,160,763
781,159,0,81731,160,71283,70711,1049,71867,71994,83807,160,0,82367,1055,71220,0,774,2553,70619,84711,1062,71537,772,71347,1063,1339218,1059,159,1063,1039,1073,83553,1057,71023,84035,0,71853,84268,159,158,772,82783,0,790,71685,159,159,71685,159,1070,780,83497,0,16962,71396,84392,0,84078,1062,71188,12365,1051,1140507,756,775,71113,771,1066,0,0,161,160,780,0,1069,160,84513,769,1066,1058,84207,84174,83737,160,770,784,159,750,161,778,83365,69986,160,763
781,159,0,81731,160,71283,70711,1049,71867,71994,83807,160,0,82367,1055,71220,0,774,2553,70619,84711,1062,71537,772,71347,1063,1339218,1059,159,1063,1039,1073,83553,1057,71023,84035,0,71853,84268,159,158,772,82783,0,790,71685,159,159,71685,159,1070,780,83497,0,16962,71396,84392,0,84078,1062,71188,12365,1051,1140507,756,775,71113,771,1066,0,0,161,160,780,0,1069,160,84513,769,1066,1058,84207,84174,83737,160,770,784,159,750,161,778,83365,69986,160,763
781,159,0,81731,160,71283,70711,1049,71867,71994,83807,160,0,82367,1055,71220,0,774,2553,70619,84711,1062,71537,772,71347,1063,1339218,1059,159,1063,1039,1073,83553,1057,71023,84035,0,71853,84268,159,158,772,82783,0,790,71685,159,159,71685,159,1070,780,83497,0,16962,71396,84392,0,84078,1062,71188,12365,1051,1140507,756,775,71113,771,1066,0,0,161,160,780,0,1069,160,84513,769,1066,1058,84207,84174,83737,160,770,784,159,750,161,778,83365,69986,160,763
781,159,0,81731,160,71283,70711,1049,71867,71994,83807,160,0,82367,1055,71220,0,774,2553,70619,84711,1062,71537,772,71347,1063,1339218,1059,159,1063,1039,1073,83553,1057,71023,84035,0,71853,84268,159,158,772,82783,0,790,71685,159,159,71685,159,1070,780,83497,0,16962,71396,84392,0,84078,1062,71188,12365,1051,1140507,756,775,71113,771,1066,0,0,161,160,780,0,1069,160,84513,769,1066,1058,84207,84174,83737,160,770,784,159,750,161,778,83365,69986,160,763
781,159,0,81731,160,71283,70711,1049,71867,71994,83807,160,0,82367,1055,71220,0,774,2553,70619,84711,1062,71537,772,71347,1063,1339218,1059,159,1063,1039,1073,83553,1057,71023,84035,0,71853,84268,159,158,772,82783,0,790,71685,159,159,71685,159,1070,780,83497,0,16962,71396,84392,0,84078,1062,71188,12365,1051,1140507,756,775,71113,771,1066,0,0,161,160,780,0,1069,160,84513,769,1066,1058,84207,84174,83737,160,770,784,159,750,161,778,83365,69986,160,763
781,159,0,81731,160,71283,70711,1049,71867,71994,83807,160,0,82367,1055,71220,0,774,2553,70619,84711,1062,71537,772,71347,1063,1339218,1059,159,1063,1039,1073,83553,1057,71023,84035,0,71853,84268,159,158,772,82783,0,790,71685,159,159,71685,159,1070,780,83497,0,16962,71396,84392,0,84078,1062,71188,12365,1051,1140507,756,775,71113,771,1066,0,0,161,160,780,0,1069,160,84513,769,1066,1058,84207,84174,83737,160,770,784,159,750,161,778,83365,69986,160,763
781,159,0,81731,160,71283,70711,1049,71867,71994,83807,160,0,82367,1055,71220,0,774,2553,70619,84711,1062,71537,772,71347,1063,1339218,1059,159,1063,1039,1073,83553,1057,71023,84035,0,71853,84268,159,158,772,82783,0,790,71685,159,159,71685,159,1070,780,83497,0,16962,71396,84392,0,84078,1062,71188,12365,1051,1140507,756,775,71113,771,1066,0,0,161,160,780,0,1069,160,84513,769,1066,1058,84207,84174,83737,160,770,784,159,750,161,778,83365,69986,160,763
781,159,0,81731,160,71283,70711,1049,71867,71994,83807,160,0,82367,1055,71220,0,774,2553,70619,84711,1062,71537,772,71347,1063,1339218,1059,159,1063,1039,1073,83553,1057,71023,84035,0,71853,84268,159,158,772,82783,0,790,71685,159,159,71685,159,1070,780,83497,0,16962,71396,84392,0,84078,1062,71188,12365,1051,1140507,756,775,71113,771,1066,0,0,161,160,780,0,1069,160,84513,769,1066,1058,84207,84174,83737,160,770,784,159,750,161,778,83365,69986,160,763
781,159,0,81731,160,71283,70711,1049,71867,71994,83807,160,0,82367,1055,71220,0,774,2553,70619,84711,1062,71537,772,71347,1063,1339218,1059,159,1063,1039,1073,83553,1057,71023,84035,0,71853,84268,159,158,772,82783,0,790,71685,159,159,71685,159,1070,780,83497,0,16962,71396,84392,0,84078,1062,71188,12365,1051,1140507,756,775,71113,771,1066,0,0,161,160,780,0,1069,160,84513,769,1066,1058,84207,84174,83737,160,770,784,159,750,161,778,83365,69986,160,763
781,159,0,81731,160,71283,70711,1049,71867,71994,83807,160,0,82367,1055,71220,0,774,2553,70619,84711,1062,71537,772,71347,1063,1339218,1059,159,1063,1039,1073,83553,1057,71023,84035,0,71853,84268,159,158,772,82783,0,790,71685,159,159,71685,159,1070,780,83497,0,16962,71396,84392,0,84078,1062,71188,12365,1051,1140507,756,775,71113,771,1066,0,0,161,160,780,0,1069,160,84513,769,1066,1058,84207,84174,83737,160,770,784,159,750,161,778,83365,69986,160,763
781,159,0,81731,160,71283,70711,1049,71867,71994,83807,160,0,82367,1055,71220,0,774,2553,70619,84711,1062,71537,772,71347,1063,1339218,1059,159,1063,1039,1073,83553,1057,71023,84035,0,71853,84268,159,158,772,82783,0,790,71685,159,159,71685,159,1070,780,83497,0,16962,71396,84392,0,84078,1062,71188,12365,1051,1140507,756,775,71113,771,1066,0,0,161,160,780,0,1069,160,84513,769,1066,1058,84207,84174,83737,160,770,784,159,750,161,778,83365,69986,160,763
781,159,0,81731,160,71283,70711,1049,71867,71994,83807,160,0,82367,1055,71220,0,774,2553,70619,84711,1062,71537,772,71347,1063,1339218,1059,159,1063,1039,1073,83553,1057,71023,84035,0,71853,84268,159,158,772,82783,0,790,71685,159,159,71685,159,1070,780,83497,0,16962,71396,84392,0,84078,1062,71188,12365,1051,1140507,756,775,71113,771,1066,0,0,161,160,780,0,1069,160,84513,769,1066,1058,84207,84174,83737,160,770,784,159,750,161,778,83365,69986,160,763
781,159,0,81731,160,71283,70711,1049,71867,71994,83807,160,0,82367,1055,71220,0,774,2553,70619,84711,1062,71537,772,71347,1063,1339218,1059,159,1063,1039,1073,83553,1057,71023,84035,0,71853,84268,159,158,772,82783,0,790,71685,159,159,71685,159,1070,780,83497,0,16962,71396,84392,0,84078,1062,71188,12365,1051,1140507,756,775,71113,771,1066,0,0,161,160,780,0,1069,160,84513,769,1066,1058,84207,84174,83737,160,770,784,159,750,161,778,83365,69986,160,763
781,159,0,81731,160,71283,70711,1049,71867,71994,83807,160,0,82367,1055,71220,0,774,2553,70619,84711,1062,71537,772,71347,1063,1339218,1059,159,1063,1039,1073,83553,1057,71023,84035,0,71853,84268,159,158,772,82783,0,790,71685,159,159,71685,159,1070,780,83497,0,16962,71396,84392,0,84078,1062,71188,12365,1051,1140507,756,775,71113,771,1066,0,0,161,160,780,0,1069,160,84513,769,1066,1058,84207,84174,83737,160,770,784,159,750,161,778,83365,69986,160,763
781,159,0,81731,160,71283,70711,1049,71867,71994,83807,160,0,82367,1055,71220,0,774,2553,70619,84711,1062,71537,772,71347,1063,1339218,1059,159,1063,1039,1073,83553,1057,71023,84035,0,71853,84268,159,158,772,82783,0,790,71685,159,159,71685,159,1070,780,83497,0,16962,71396,84392,0,84078,1062,71188,12365,1051,1140507,756,775,71113,771,1066,0,0,161,160,780,0,1069,160,84513,769,1066,1058,84207,84174,83737,160,770,784,159,750,161,778,83365,69986,160,763
781,159,0,81731,160,71283,70711,1049,71867,71994,83807,160,0,82367,1055,71220,0,774,2553,70619,84711,1062,71537,772,71347,1063,1339218,1059,159,1063,1039,1073,83553,1057,71023,84035,0,71853,84268,159,158,772,82783,0,790,71685,159,159,71685,159,1070,780,83497,0,16962,71396,84392,0,84078,1062,71188,12365,1051,1140507,756,775,71113,771,1066,0,0,161,160,780,0,1069,160,84513,769,1066,1058,84207,84174,83737,160,770,784,159,750,161,778,83365,69986,160,763
781,159,0,81731,160,71283,70711,1049,71867,71994,83807,160,0,82367,1055,71220,0,774,2553,70619,84711,1062,71537,772,71347,1063,1339218,1059,159,1063,1039,1073,83553,1057,71023,84035,0,71853,84268,159,158,772,82783,0,790,71685,159,159,71685,159,1070,780,83497,0,16962,71396,84392,0,84078,1062,71188,12365,1051,1140507,756,775,71113,771,1066,0,0,161,160,780,0,1069,160,84513,769,1066,1058,84207,84174,83737,160,770,784,159,750,161,778,83365,69986,160,763
